Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -0.075133	 556.531874	 556.616013	 0.256662	 63.250465	 63.074793	 -0.540178	 36.749535	 36.925207	 -0.555711	 26.326425	 26.401966	 41.941578	 0.717600	 0.713400	 0.528500	 0.189600	 0.524900	 0.191579	 0.905500	 0.903000	 
0.000000	 -1.995272	 549.218043	 559.795521	 0.259375	 63.784294	 63.610494	 -0.520590	 36.215706	 36.389506	 -0.049106	 27.368131	 27.352478	 42.465368	 0.703636	 0.709545	 0.514545	 0.190000	 0.512727	 0.196818	 0.901364	 0.899545	 
0.000000	 -1.988654	 553.789225	 564.489306	 0.398544	 63.665702	 63.410926	 -0.706424	 36.334298	 36.589074	 -0.024052	 27.126145	 27.126609	 42.165291	 0.715238	 0.706190	 0.520000	 0.195238	 0.515714	 0.190476	 0.906190	 0.901429	 
0.000000	 1.114840	 562.069683	 555.194740	 1.245776	 64.178187	 63.379487	 -2.227611	 35.821813	 36.620513	 0.218691	 27.510182	 27.438069	 42.369530	 0.720476	 0.699524	 0.519524	 0.200000	 0.510000	 0.189524	 0.909524	 0.899524	 
0.000000	 1.486322	 555.391883	 546.741016	 1.241019	 64.188382	 63.392677	 -2.218474	 35.811618	 36.607323	 -0.382378	 27.591386	 27.669146	 42.780690	 0.705714	 0.695714	 0.513333	 0.193333	 0.500952	 0.194762	 0.900476	 0.889048	 
0.000000	 0.037335	 559.654101	 558.311490	 0.135689	 63.880035	 63.787444	 -0.284773	 36.119965	 36.212556	 0.928471	 27.688160	 27.607571	 42.222800	 0.709524	 0.710952	 0.514286	 0.195238	 0.513810	 0.197143	 0.908095	 0.906190	 
0.000000	 -0.075809	 549.063169	 548.819171	 0.074141	 63.784834	 63.734719	 -0.152324	 36.215166	 36.265281	 -0.395132	 27.474167	 27.565880	 42.999791	 0.705455	 0.693636	 0.506818	 0.197273	 0.505455	 0.188182	 0.890455	 0.890909	 
0.000000	 -2.017226	 541.782042	 551.918915	 0.981876	 63.460506	 63.047664	 -1.739068	 36.539494	 36.952336	 -0.886819	 26.452603	 26.629087	 42.756312	 0.704762	 0.700952	 0.519524	 0.185238	 0.511905	 0.189048	 0.895500	 0.886190	 
25.000000	 -2.508951	 534.131218	 546.613953	 -2.641026	 60.440808	 61.785338	 4.116213	 39.559192	 38.214662	 1.991701	 21.843105	 21.689618	 42.975774	 0.694286	 0.697273	 0.546190	 0.145455	 0.543182	 0.154091	 0.851429	 0.842727	 
25.000000	 0.598193	 553.052213	 549.399248	 -1.131730	 60.874494	 61.619114	 1.720984	 39.125506	 38.380886	 -0.543108	 22.372469	 22.538732	 42.654545	 0.705238	 0.706000	 0.540476	 0.165238	 0.552857	 0.150000	 0.855714	 0.873000	 
