Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -4.145038	 499.707941	 520.248387	 0.771378	 63.067477	 62.576908	 -1.347364	 36.932523	 37.423092	 -0.384218	 25.587853	 25.659142	 45.943656	 0.659048	 0.649524	 0.489524	 0.169048	 0.482857	 0.166667	 0.823810	 0.818571	 
0.000000	 -9.498796	 485.202251	 533.042944	 -1.751987	 62.157653	 63.241768	 2.845037	 37.842347	 36.758232	 0.178769	 25.344828	 25.413824	 45.938781	 0.638261	 0.666087	 0.479130	 0.158261	 0.493043	 0.173043	 0.812174	 0.824348	 
0.000000	 -3.266123	 503.254405	 519.680533	 -0.624928	 62.819130	 63.205679	 1.011901	 37.180870	 36.794321	 -0.351096	 25.941611	 26.010442	 45.852674	 0.656957	 0.654348	 0.482609	 0.174783	 0.487826	 0.166522	 0.822174	 0.829130	 
0.000000	 -3.874046	 500.013927	 519.409607	 0.709343	 63.173891	 62.719176	 -1.265870	 36.826109	 37.280824	 0.033812	 25.939993	 25.908429	 46.039711	 0.656522	 0.644783	 0.485261	 0.171696	 0.479174	 0.165609	 0.823435	 0.816478	 
0.000000	 -7.394250	 490.152847	 527.611927	 -1.430266	 62.693686	 63.588883	 2.393185	 37.306314	 36.411117	 -0.138677	 26.243671	 26.252319	 45.687971	 0.652609	 0.661739	 0.478696	 0.174348	 0.490870	 0.170870	 0.823478	 0.836087	 
0.000000	 -7.600280	 493.412917	 532.255008	 -0.980437	 62.410412	 63.016208	 1.584399	 37.589588	 36.983792	 -0.346442	 25.448948	 25.502058	 45.505250	 0.658261	 0.660000	 0.487391	 0.170435	 0.494348	 0.167273	 0.823043	 0.830435	 
0.000000	 -7.949783	 490.562458	 530.977039	 -0.741301	 62.412050	 62.777849	 1.193667	 37.587950	 37.222151	 0.044143	 25.252345	 25.204289	 45.868128	 0.653478	 0.655217	 0.486087	 0.167826	 0.493043	 0.162174	 0.816522	 0.823043	 
0.000000	 -6.106258	 496.228452	 527.252196	 1.348136	 63.401989	 62.455778	 -2.337398	 36.598011	 37.544222	 0.050962	 25.921319	 25.899836	 45.803843	 0.662174	 0.647391	 0.490455	 0.171304	 0.479130	 0.168261	 0.831739	 0.818696	 
25.000000	 -7.553746	 486.146781	 525.879083	 0.315719	 61.591397	 61.435184	 -0.611623	 38.408603	 38.564816	 -0.638438	 22.923953	 22.859231	 45.900503	 0.661000	 0.653591	 0.504762	 0.155500	 0.507227	 0.146364	 0.802905	 0.809091	 
25.000000	 -9.329752	 485.199735	 531.731309	 3.310760	 62.283299	 60.290467	 -5.319147	 37.716701	 39.709533	 -0.284055	 22.459638	 22.546927	 46.038672	 0.670870	 0.634348	 0.519130	 0.151304	 0.493130	 0.141217	 0.812130	 0.785652	 
25.000000	 -7.812416	 490.697979	 529.999005	 1.801090	 62.662575	 61.536679	 -3.004207	 37.337425	 38.463321	 -0.095595	 24.234798	 24.231731	 45.716580	 0.660913	 0.649957	 0.504348	 0.157000	 0.489174	 0.160783	 0.822522	 0.806957	 
25.000000	 -7.364827	 491.331678	 528.624050	 1.523881	 62.379414	 61.430347	 -2.516400	 37.620586	 38.569653	 0.039716	 23.820677	 23.797263	 45.878521	 0.663913	 0.643478	 0.504348	 0.160000	 0.492174	 0.151304	 0.816087	 0.803478	 
25.000000	 -8.086716	 492.950827	 533.776695	 1.570233	 62.183657	 61.209632	 -2.565674	 37.816343	 38.790368	 -0.224800	 23.366311	 23.383917	 45.861426	 0.668182	 0.643478	 0.509565	 0.160870	 0.496957	 0.146522	 0.816522	 0.800909	 
25.000000	 -8.725479	 490.475972	 534.864337	 1.701066	 62.163355	 61.104701	 -2.805155	 37.836645	 38.895299	 -0.191314	 23.288595	 23.273213	 45.623199	 0.671739	 0.642609	 0.511348	 0.160826	 0.497391	 0.145217	 0.817826	 0.803435	 
25.000000	 -11.354396	 479.631324	 536.879803	 1.930277	 61.993584	 60.806087	 -3.086736	 38.006416	 39.193913	 -0.260610	 22.744209	 22.780750	 46.179071	 0.669174	 0.631318	 0.510000	 0.156409	 0.494783	 0.138217	 0.805652	 0.791304	 
25.000000	 -7.687718	 495.964752	 535.164283	 1.119903	 62.139309	 61.440481	 -1.858827	 37.860691	 38.559519	 -0.032591	 23.604472	 23.585695	 45.532016	 0.670000	 0.646522	 0.507870	 0.163000	 0.498696	 0.147826	 0.819130	 0.809522	 
25.000000	 -5.930456	 492.777628	 522.666963	 0.819405	 61.671996	 61.158276	 -1.376684	 38.328004	 38.841724	 -0.221692	 22.842248	 22.850767	 46.116175	 0.660000	 0.641304	 0.505217	 0.154348	 0.498261	 0.143043	 0.802609	 0.795652	 
25.000000	 -5.664941	 498.094153	 526.507531	 1.080258	 61.713962	 61.036767	 -1.812732	 38.286038	 38.963233	 -0.295770	 22.721640	 22.743968	 45.605218	 0.672174	 0.644783	 0.513043	 0.159130	 0.504348	 0.140435	 0.812174	 0.803913	 
25.000000	 -2.149099	 505.262835	 515.811887	 1.824006	 62.043683	 60.917263	 -2.946587	 37.956317	 39.082737	 0.268041	 22.983676	 22.901667	 45.875130	 0.673043	 0.633913	 0.510913	 0.162565	 0.496957	 0.136957	 0.811739	 0.796478	 
25.000000	 -2.940924	 502.735440	 517.463561	 2.821484	 62.500646	 60.755408	 -4.578483	 37.499354	 39.244592	 -0.300115	 23.293307	 23.321749	 45.921441	 0.679545	 0.626364	 0.512273	 0.166818	 0.488636	 0.137727	 0.816818	 0.793182	 
25.000000	 -0.631140	 510.529131	 513.402133	 2.243967	 62.238325	 60.844488	 -3.679918	 37.761675	 39.155512	 -0.702877	 23.016830	 23.211250	 45.793834	 0.674783	 0.636957	 0.513913	 0.161739	 0.496087	 0.140870	 0.815652	 0.798696	 
25.000000	 -1.883654	 507.819534	 517.288960	 2.388863	 62.159476	 60.686596	 -3.842254	 37.840524	 39.313404	 -0.289380	 22.857980	 22.901124	 45.660740	 0.683087	 0.631261	 0.516522	 0.166130	 0.496478	 0.134783	 0.817000	 0.797391	 
0.000000	 -2.919916	 501.779601	 516.601767	 0.437991	 62.667155	 62.494868	 -0.780944	 37.332845	 37.505132	 0.180361	 25.065200	 25.006777	 46.134407	 0.659130	 0.643043	 0.489130	 0.168261	 0.486087	 0.156957	 0.815217	 0.811304	 
0.000000	 -3.385163	 501.039389	 518.142723	 -0.641566	 62.561454	 62.959027	 1.044742	 37.438546	 37.040973	 -0.064120	 25.515590	 25.518675	 45.979222	 0.657826	 0.646957	 0.483478	 0.174783	 0.488696	 0.158261	 0.816522	 0.821739	 
0.000000	 -3.918150	 498.055307	 517.550627	 -0.681889	 62.328336	 62.742620	 1.053138	 37.671664	 37.257380	 -0.301498	 25.058099	 25.117525	 46.254414	 0.656957	 0.642609	 0.484348	 0.173043	 0.489130	 0.153478	 0.810000	 0.815652	 
0.000000	 -4.338046	 499.255038	 521.009117	 -0.286426	 62.358412	 62.527933	 0.410698	 37.641588	 37.472067	 0.102880	 24.884108	 24.817726	 45.933145	 0.660435	 0.646522	 0.489565	 0.170435	 0.492609	 0.153913	 0.814783	 0.816957	 
0.000000	 -4.181898	 500.975088	 522.075859	 -0.618845	 62.168876	 62.543515	 0.947230	 37.831124	 37.456485	 -0.060584	 24.735072	 24.720111	 45.917065	 0.661304	 0.646957	 0.490000	 0.171304	 0.494783	 0.152174	 0.813913	 0.818261	 
0.000000	 -3.344786	 503.788115	 520.737059	 -1.111608	 62.008886	 62.693257	 1.781093	 37.991114	 37.306743	 0.090715	 24.714345	 24.654207	 45.672585	 0.656957	 0.656957	 0.490000	 0.166522	 0.498182	 0.157391	 0.814783	 0.823478	 
0.000000	 -0.235698	 508.390198	 509.116168	 -0.610683	 62.369158	 62.743223	 0.964234	 37.630842	 37.256777	 -0.574876	 25.070551	 25.181682	 46.085732	 0.663913	 0.639565	 0.485652	 0.178261	 0.489565	 0.150000	 0.812174	 0.817826	 
0.000000	 -5.744524	 489.764061	 518.305032	 -0.135989	 62.756666	 62.835467	 0.182319	 37.243334	 37.164533	 0.094227	 25.579702	 25.537740	 46.646330	 0.647826	 0.639130	 0.476818	 0.169565	 0.480000	 0.159130	 0.807391	 0.808696	 
0.000000	 -6.047616	 489.165401	 519.186949	 0.088087	 62.894122	 62.829798	 -0.214378	 37.105878	 37.170202	 -0.225766	 25.724911	 25.752285	 46.545409	 0.646250	 0.642917	 0.479167	 0.167083	 0.477917	 0.165000	 0.810833	 0.810000	 
0.000000	 -3.564976	 495.435378	 513.228264	 0.731905	 63.105772	 62.633741	 -1.324837	 36.894228	 37.366259	 0.411999	 25.766206	 25.634732	 46.585362	 0.655714	 0.631905	 0.480952	 0.174286	 0.476190	 0.155714	 0.812857	 0.806190	 
