Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -1.801637	 583.252843	 593.501940	 0.597738	 59.918242	 59.696969	 -0.583641	 40.081758	 40.303031	 -0.184473	 19.633334	 19.633393	 49.891637	 0.603333	 0.598750	 0.484583	 0.119125	 0.481667	 0.117083	 0.720833	 0.717875	 
0.000000	 -3.711115	 590.123150	 612.158174	 0.386679	 60.351692	 60.115242	 -0.608289	 39.648308	 39.884758	 0.119460	 20.493975	 20.439093	 48.977154	 0.612500	 0.612083	 0.488333	 0.124167	 0.485833	 0.126250	 0.739583	 0.736250	 
0.000000	 -2.873029	 595.696476	 612.776466	 -0.873456	 60.003906	 60.526583	 1.301699	 39.996094	 39.473417	 -0.290660	 20.529307	 20.562888	 48.979379	 0.608400	 0.617600	 0.483600	 0.124000	 0.489600	 0.128000	 0.733333	 0.741600	 
0.000000	 -2.679300	 597.015172	 613.029502	 -0.918410	 60.268248	 60.961585	 1.723902	 39.731752	 39.038415	 0.324028	 21.255255	 21.170092	 48.987759	 0.609583	 0.614583	 0.477917	 0.131667	 0.487083	 0.127500	 0.738333	 0.746250	 
0.000000	 -1.222666	 599.463985	 606.654957	 -0.790116	 60.071142	 60.541585	 1.162623	 39.928858	 39.458415	 -0.185687	 20.600226	 20.624639	 48.974759	 0.610400	 0.614800	 0.483600	 0.127200	 0.489200	 0.125600	 0.736000	 0.742000	 
0.000000	 -1.534975	 598.991604	 608.164605	 -0.870697	 60.114208	 60.632042	 1.277448	 39.885792	 39.367958	 -0.284208	 20.703561	 20.753163	 48.971334	 0.609583	 0.616667	 0.482917	 0.127083	 0.489167	 0.127500	 0.736667	 0.743750	 
0.000000	 -2.006136	 598.626188	 610.442617	 -0.386210	 60.469168	 60.773967	 0.559903	 39.530832	 39.226033	 0.085972	 21.277016	 21.131200	 48.930719	 0.610000	 0.616800	 0.482000	 0.127600	 0.485200	 0.131600	 0.741600	 0.744400	 
0.000000	 -2.533244	 598.185342	 613.111865	 -0.632420	 60.350969	 60.730894	 0.951568	 39.649031	 39.269106	 -0.172880	 21.108486	 21.123277	 48.802778	 0.611250	 0.617500	 0.482500	 0.128750	 0.486667	 0.130833	 0.742083	 0.746250	 
25.000000	 -1.623175	 590.591512	 600.096812	 0.050877	 60.884228	 60.847200	 -0.118598	 39.115772	 39.152800	 -0.069516	 21.701472	 21.689566	 49.555708	 0.603200	 0.607917	 0.473600	 0.127917	 0.473600	 0.134167	 0.736000	 0.736000	 
25.000000	 0.018665	 601.375772	 600.999468	 1.420265	 61.088810	 60.230251	 -2.222914	 38.911190	 39.769749	 -0.659063	 20.871110	 21.090546	 48.965788	 0.609583	 0.612174	 0.488333	 0.122500	 0.476522	 0.134167	 0.747391	 0.734783	 
25.000000	 -1.060252	 596.687576	 602.717992	 1.258090	 60.390650	 59.632690	 -1.906828	 39.609350	 40.367310	 0.008112	 20.037377	 20.009169	 48.977174	 0.611680	 0.613920	 0.494400	 0.116480	 0.485280	 0.128640	 0.739920	 0.730400	 
25.000000	 0.212701	 599.833259	 598.277400	 0.520379	 60.649144	 60.324760	 -0.859043	 39.350856	 39.675240	 0.176650	 21.011927	 20.936400	 49.396210	 0.605080	 0.608120	 0.481480	 0.124000	 0.478000	 0.130120	 0.736800	 0.732120	 
25.000000	 -3.468197	 583.351217	 603.810894	 -0.073674	 60.815122	 60.855513	 0.085840	 39.184878	 39.144487	 -0.363827	 21.628277	 21.675395	 49.764931	 0.598696	 0.607083	 0.472500	 0.127500	 0.472917	 0.134167	 0.733333	 0.734583	 
25.000000	 -1.262971	 597.418738	 604.903654	 -0.140124	 60.568503	 60.646989	 0.174238	 39.431497	 39.353011	 -0.112838	 21.241617	 21.254140	 48.929830	 0.611960	 0.612542	 0.482320	 0.129240	 0.482760	 0.130083	 0.742840	 0.741750	 
25.000000	 0.051810	 600.885578	 600.212769	 0.400622	 60.494877	 60.208495	 -0.663570	 39.505123	 39.791505	 -0.772269	 20.431707	 20.602880	 48.971316	 0.616250	 0.610000	 0.489565	 0.127391	 0.482917	 0.125417	 0.742500	 0.737391	 
25.000000	 -1.185606	 600.283992	 607.087124	 -0.356930	 60.213918	 60.513672	 0.514418	 39.786082	 39.486328	 -0.288032	 20.546490	 20.582086	 48.789306	 0.612000	 0.618800	 0.486800	 0.124400	 0.490000	 0.128800	 0.739600	 0.743200	 
