Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 3.462405	 474.378956	 457.500631	 1.486477	 63.558741	 62.618482	 -2.559425	 36.441259	 37.381518	 -0.047579	 26.227887	 26.227387	 43.758194	 0.691429	 0.677619	 0.511905	 0.180000	 0.498333	 0.179286	 0.871667	 0.857619	 
0.000000	 2.099218	 476.992007	 466.873270	 1.692648	 64.182218	 63.100967	 -2.994321	 35.817782	 36.899033	 0.104814	 27.282612	 27.249690	 43.185150	 0.704545	 0.685000	 0.512727	 0.191818	 0.498182	 0.186818	 0.891818	 0.876818	 
0.000000	 -0.110205	 479.306349	 479.610353	 0.966746	 63.594464	 62.977815	 -1.702981	 36.405536	 37.022185	 -0.487436	 26.583578	 26.691663	 42.244013	 0.715714	 0.703333	 0.525714	 0.190952	 0.515238	 0.188095	 0.903333	 0.894286	 
0.000000	 1.375663	 482.780355	 475.840961	 0.892207	 64.083238	 63.616470	 -1.643743	 35.916762	 36.383530	 0.107161	 27.562346	 27.509855	 42.262761	 0.718571	 0.704286	 0.518571	 0.198095	 0.511429	 0.192857	 0.910000	 0.902381	 
0.000000	 2.885310	 485.770636	 471.535666	 0.555237	 63.973343	 63.615713	 -1.004531	 36.026657	 36.384287	 0.095805	 27.639316	 27.604176	 42.430276	 0.710000	 0.700952	 0.513810	 0.197619	 0.508571	 0.192381	 0.904762	 0.898571	 
0.000000	 2.131395	 487.380025	 476.694031	 1.849472	 64.424778	 63.239250	 -3.303666	 35.575222	 36.760750	 -0.052558	 27.640075	 27.647591	 42.334839	 0.715714	 0.703333	 0.521429	 0.193810	 0.504762	 0.198571	 0.913333	 0.897143	 
0.000000	 -0.217177	 487.051589	 487.691989	 1.040215	 64.225096	 63.557297	 -1.865703	 35.774904	 36.442703	 0.115700	 27.816540	 27.777371	 41.783634	 0.718571	 0.715714	 0.522857	 0.196190	 0.513333	 0.202381	 0.922381	 0.911905	 
0.000000	 2.315996	 493.470360	 482.028224	 1.027668	 64.363143	 63.698508	 -1.882208	 35.636857	 36.301492	 0.052167	 28.062800	 28.028152	 41.850332	 0.723810	 0.710952	 0.520476	 0.202381	 0.511429	 0.199524	 0.922857	 0.913333	 
25.000000	 -1.013412	 484.326461	 489.178959	 0.957037	 64.305179	 63.687940	 -1.738675	 35.694821	 36.312060	 -0.282252	 27.980502	 28.036887	 42.044602	 0.720476	 0.706667	 0.518571	 0.202857	 0.509048	 0.199500	 0.918095	 0.909524	 
25.000000	 -3.776702	 482.630967	 500.976619	 1.021338	 64.212573	 63.554743	 -1.848172	 35.787427	 36.445257	 -0.273288	 27.732459	 27.797211	 41.601104	 0.721429	 0.721905	 0.526190	 0.195714	 0.516190	 0.205714	 0.926190	 0.917619	 
