Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 0.218120	 499.320281	 496.967536	 -0.199700	 60.463604	 60.561723	 0.161358	 39.536396	 39.438277	 -0.290130	 20.973515	 21.012893	 46.903799	 0.639545	 0.643182	 0.505455	 0.133182	 0.506818	 0.136364	 0.774091	 0.776364	 
0.000000	 -2.421678	 477.297590	 488.021244	 -1.608609	 59.675308	 60.633800	 2.373563	 40.324692	 39.366200	 -0.283156	 20.312586	 20.340524	 48.050213	 0.615833	 0.633333	 0.491667	 0.124167	 0.503333	 0.130000	 0.745417	 0.757500	 
0.000000	 -4.217119	 481.489323	 501.665359	 0.604758	 60.471077	 60.078855	 -1.091645	 39.528923	 39.921145	 0.206396	 20.578769	 20.491334	 47.144885	 0.640000	 0.631667	 0.507917	 0.132917	 0.503750	 0.127917	 0.770000	 0.764583	 
0.000000	 -3.507927	 476.883334	 493.325315	 -0.243222	 60.052997	 60.178930	 0.238221	 39.947003	 39.821070	 -0.298646	 20.220000	 20.241804	 48.102547	 0.622917	 0.626667	 0.497083	 0.124583	 0.498333	 0.128333	 0.746087	 0.751250	 
0.000000	 -1.262248	 488.282170	 493.998119	 0.724580	 60.582661	 60.137583	 -1.153213	 39.417339	 39.862417	 0.126215	 20.759908	 20.716018	 47.233623	 0.636087	 0.633043	 0.506087	 0.130435	 0.500435	 0.132609	 0.770000	 0.763478	 
0.000000	 -3.391462	 485.046427	 501.008975	 -0.484501	 60.095618	 60.377298	 0.669744	 39.904382	 39.622702	 -0.145943	 20.513424	 20.528342	 47.073226	 0.634583	 0.638333	 0.504583	 0.130833	 0.507500	 0.130833	 0.766250	 0.769167	 
0.000000	 -2.398485	 496.562435	 507.961596	 0.897804	 60.694392	 60.095578	 -1.523637	 39.305608	 39.904422	 -0.474884	 20.851635	 20.915655	 46.566775	 0.651304	 0.640000	 0.515217	 0.136087	 0.506087	 0.133913	 0.783913	 0.776087	 
0.000000	 -0.881970	 503.991596	 507.688510	 -0.050206	 60.625353	 60.650721	 0.044644	 39.374647	 39.349279	 0.318074	 21.252021	 21.158144	 46.264518	 0.646957	 0.652609	 0.510870	 0.134783	 0.512609	 0.140000	 0.786522	 0.787391	 
25.000000	 -1.262788	 489.768378	 495.426304	 -0.779989	 60.213775	 60.677029	 1.140619	 39.786225	 39.322971	 -0.272796	 20.918597	 20.961529	 47.084273	 0.630417	 0.642083	 0.500833	 0.130833	 0.505833	 0.136250	 0.767500	 0.772917	 
25.000000	 2.293881	 500.872213	 491.485958	 -0.200288	 60.519043	 60.611958	 0.129166	 39.480957	 39.388042	 0.070056	 21.134332	 21.098934	 47.394957	 0.630000	 0.637826	 0.502273	 0.130000	 0.500435	 0.137391	 0.766957	 0.767826	 
25.000000	 1.039003	 503.572862	 497.914199	 0.127895	 60.298231	 60.205046	 -0.297067	 39.701769	 39.794954	 -0.477966	 20.504958	 20.570840	 46.448755	 0.642917	 0.648750	 0.514167	 0.129167	 0.512083	 0.136667	 0.779167	 0.777917	 
25.000000	 -1.539751	 489.894169	 496.534322	 -0.982129	 60.094681	 60.678353	 1.438299	 39.905319	 39.321647	 0.392012	 20.824619	 20.715294	 46.925929	 0.629130	 0.648696	 0.502174	 0.126522	 0.510435	 0.138261	 0.768696	 0.775217	 
25.000000	 -5.720676	 475.722254	 502.698175	 -1.628862	 59.877402	 60.837414	 2.335263	 40.122598	 39.162586	 -0.405121	 20.701209	 20.762496	 47.600329	 0.621250	 0.640000	 0.494167	 0.127500	 0.505417	 0.134583	 0.755417	 0.767500	 
25.000000	 -2.521944	 490.206493	 501.464037	 -1.080468	 59.905213	 60.660087	 1.553687	 40.094787	 39.339913	 0.231090	 20.699591	 20.632406	 47.082066	 0.633043	 0.641304	 0.501304	 0.131739	 0.510000	 0.131304	 0.765217	 0.773043	 
25.000000	 -2.130426	 497.276467	 508.766135	 -0.407594	 60.172155	 60.446741	 0.532425	 39.827845	 39.553259	 -0.211377	 20.774241	 20.789150	 46.869471	 0.638333	 0.643333	 0.504583	 0.133333	 0.510000	 0.133333	 0.770833	 0.776667	 
25.000000	 -0.177594	 494.088470	 494.764886	 -0.794456	 59.864281	 60.440461	 1.132715	 40.135719	 39.559539	 0.124656	 20.061826	 20.013756	 47.157391	 0.633043	 0.638696	 0.504783	 0.128696	 0.512609	 0.126087	 0.760435	 0.767391	 
25.000000	 0.990462	 493.113878	 488.351946	 -0.073491	 60.365909	 60.409965	 0.109588	 39.634091	 39.590035	 -0.131473	 20.716622	 20.703615	 47.641238	 0.633792	 0.629958	 0.499583	 0.132958	 0.501208	 0.128750	 0.760875	 0.762917	 
25.000000	 -0.579758	 487.319394	 489.176917	 -0.373577	 59.948251	 60.157617	 0.467691	 40.051749	 39.842383	 -0.469254	 20.108586	 20.173684	 47.678146	 0.629583	 0.628333	 0.501667	 0.129167	 0.503333	 0.125000	 0.755000	 0.757500	 
25.000000	 -1.121368	 484.582686	 489.513796	 -0.672320	 59.909072	 60.304948	 0.961452	 40.090928	 39.695052	 -0.467845	 20.215653	 20.282437	 47.683917	 0.628333	 0.630833	 0.499583	 0.128333	 0.503750	 0.127083	 0.754167	 0.759167	 
25.000000	 -2.702928	 479.921464	 492.202011	 0.137785	 60.348382	 60.253848	 -0.282617	 39.651618	 39.746152	 0.424010	 20.583406	 20.477165	 47.849795	 0.628750	 0.626250	 0.498750	 0.130000	 0.499167	 0.127083	 0.757083	 0.756250	 
25.000000	 -2.321697	 481.394347	 491.798663	 -0.544349	 59.894839	 60.200646	 0.685093	 40.105161	 39.799354	 -0.147578	 20.242389	 20.136925	 48.012763	 0.622500	 0.627500	 0.497500	 0.125000	 0.500667	 0.126833	 0.748917	 0.752500	 
25.000000	 -0.642978	 487.173382	 489.188833	 0.132458	 60.073182	 59.975450	 -0.314932	 39.926818	 40.024550	 -0.303659	 20.052129	 20.085771	 47.587512	 0.627826	 0.632174	 0.504826	 0.124304	 0.503043	 0.129130	 0.757826	 0.756478	 
