Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -1.779953	 554.089804	 563.156267	 0.720247	 63.683277	 63.215500	 -1.333702	 36.316723	 36.784500	 -0.321054	 26.868270	 26.918997	 42.241052	 0.718000	 0.705000	 0.523000	 0.194000	 0.516000	 0.189000	 0.905000	 0.899000	 
0.000000	 -0.926712	 549.354190	 554.192159	 0.802611	 63.748371	 63.233440	 -1.437403	 36.251629	 36.766560	 0.168741	 27.004089	 26.923612	 42.810172	 0.706364	 0.695000	 0.515000	 0.190909	 0.508636	 0.186364	 0.893636	 0.885909	 
0.000000	 -1.693836	 543.786919	 552.529371	 1.214115	 64.121443	 63.345592	 -2.149732	 35.878557	 36.654408	 -0.259143	 27.452115	 27.511236	 43.144150	 0.702857	 0.688095	 0.510000	 0.193333	 0.498571	 0.189524	 0.891905	 0.881429	 
0.000000	 -1.899159	 551.325634	 561.416862	 0.797908	 64.111582	 63.594708	 -1.466752	 35.888418	 36.405292	 -0.076883	 27.735831	 27.736418	 42.347057	 0.713182	 0.703636	 0.515455	 0.196818	 0.507727	 0.195909	 0.908636	 0.900455	 
0.000000	 -0.539689	 549.934249	 552.314463	 0.108648	 63.474765	 63.401582	 -0.220333	 36.525235	 36.598418	 0.004526	 26.878623	 26.872292	 42.827092	 0.707619	 0.693810	 0.512857	 0.194762	 0.511905	 0.181905	 0.889524	 0.888571	 
0.000000	 -1.051904	 548.366403	 553.573380	 0.818573	 63.912821	 63.385986	 -1.478938	 36.087179	 36.614014	 -0.009600	 27.248293	 27.244612	 42.867720	 0.706190	 0.695714	 0.513333	 0.192857	 0.506667	 0.189048	 0.894762	 0.888571	 
0.000000	 -4.162773	 537.663114	 557.895915	 1.030538	 63.828516	 63.170295	 -1.822816	 36.171484	 36.829705	 -0.157376	 27.002242	 27.026309	 43.327005	 0.697727	 0.687273	 0.510000	 0.187727	 0.500455	 0.186818	 0.884091	 0.875000	 
0.000000	 -3.295161	 527.612525	 544.197435	 1.663431	 63.709069	 62.652322	 -2.898269	 36.290931	 37.347678	 -0.294951	 26.311150	 26.373480	 44.042629	 0.685909	 0.677727	 0.509545	 0.177273	 0.495000	 0.182727	 0.868182	 0.855000	 
25.000000	 -5.526329	 491.670287	 515.957586	 0.553448	 62.613719	 62.466956	 -0.999575	 37.386281	 37.533044	 0.294769	 24.927723	 24.756706	 48.410007	 0.617083	 0.631250	 0.468696	 0.143043	 0.470435	 0.157500	 0.770833	 0.776957	 
25.000000	 -6.417775	 496.408540	 526.476690	 -0.019250	 63.131240	 62.882811	 0.024837	 36.868760	 37.117189	 0.960613	 26.134547	 25.914341	 47.426619	 0.623478	 0.635833	 0.484167	 0.146250	 0.464783	 0.161250	 0.792083	 0.791304	 
25.000000	 -1.920576	 512.765548	 521.217426	 0.929925	 63.478184	 62.856844	 -1.746724	 36.521816	 37.143156	 0.011125	 26.272713	 26.238775	 46.045300	 0.657391	 0.643913	 0.483636	 0.171364	 0.473913	 0.170000	 0.827826	 0.812174	 
25.000000	 -5.831173	 504.921496	 531.326849	 0.943688	 63.003081	 62.618808	 -1.613284	 36.996919	 37.381192	 0.078395	 26.130663	 25.739073	 46.769610	 0.647727	 0.640435	 0.478636	 0.166818	 0.475455	 0.165909	 0.807391	 0.803478	 
