Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -4.792596	 480.036991	 503.336595	 -0.604786	 62.730847	 63.099104	 0.937723	 37.269153	 36.900896	 -0.206196	 25.804433	 25.856070	 45.309949	 0.658636	 0.667273	 0.489091	 0.169091	 0.491905	 0.173636	 0.830909	 0.836364	 
0.000000	 -4.419899	 480.965116	 502.516132	 -1.422237	 62.655659	 63.543023	 2.359358	 37.344341	 36.456977	 0.152602	 26.236548	 26.166064	 45.167208	 0.653043	 0.673478	 0.483913	 0.170000	 0.496130	 0.177348	 0.832565	 0.843478	 
0.000000	 -4.441292	 482.322997	 503.935238	 -0.331441	 62.993869	 63.191851	 0.485445	 37.006131	 36.808149	 0.133646	 26.159693	 26.109851	 45.237628	 0.662727	 0.665909	 0.488682	 0.173136	 0.492273	 0.173636	 0.835909	 0.839045	 
0.000000	 -0.111024	 493.326912	 493.651944	 -0.255916	 62.999070	 63.155078	 0.397773	 37.000930	 36.844922	 0.059448	 26.228437	 26.211601	 44.817778	 0.666957	 0.668261	 0.492609	 0.175000	 0.493913	 0.174348	 0.844348	 0.844783	 
0.000000	 -1.993666	 517.249983	 527.188997	 0.367938	 63.869216	 63.664374	 -0.695287	 36.130784	 36.335626	 -0.039108	 27.638542	 27.637650	 42.438185	 0.711476	 0.702810	 0.513810	 0.197667	 0.509476	 0.193333	 0.904810	 0.900476	 
0.000000	 -2.218282	 511.097376	 522.324678	 -0.544436	 63.484635	 63.818518	 0.859472	 36.515365	 36.181482	 -0.249411	 27.280276	 27.328320	 42.922986	 0.700476	 0.698095	 0.506190	 0.194762	 0.510476	 0.187619	 0.887619	 0.892857	 
0.000000	 0.111624	 520.928801	 520.227588	 -0.182494	 63.713864	 63.824021	 0.273877	 36.286136	 36.175979	 0.223538	 27.559902	 27.478596	 42.617267	 0.703182	 0.705000	 0.509091	 0.193182	 0.511364	 0.193636	 0.897273	 0.898182	 
0.000000	 -2.676317	 502.341357	 515.813099	 -1.106779	 63.202521	 63.899515	 1.882489	 36.797479	 36.100485	 -0.312985	 27.063173	 27.138173	 43.620180	 0.681429	 0.696667	 0.497143	 0.183333	 0.506190	 0.190476	 0.869524	 0.880000	 
25.000000	 -1.767713	 508.888474	 516.912320	 0.871576	 63.050943	 62.494902	 -1.534543	 36.949057	 37.505098	 -0.156697	 25.579844	 25.607268	 42.896150	 0.697727	 0.699091	 0.525000	 0.175455	 0.516364	 0.182727	 0.883182	 0.874545	 
25.000000	 -0.037255	 510.147327	 510.386519	 -0.471381	 62.551323	 62.840734	 0.748240	 37.448677	 37.159266	 -0.079690	 25.378751	 25.372163	 43.008140	 0.694500	 0.700952	 0.516667	 0.176000	 0.520952	 0.180000	 0.873500	 0.873810	 
25.000000	 -2.307858	 507.156496	 518.584163	 0.793916	 62.817560	 62.316854	 -1.355703	 37.182440	 37.683146	 -0.099070	 25.110235	 25.124144	 43.294171	 0.694545	 0.694091	 0.520952	 0.170455	 0.515909	 0.178182	 0.870909	 0.861429	 
25.000000	 -3.520218	 507.081254	 524.897481	 -1.073631	 62.373823	 63.000394	 1.745232	 37.626177	 36.999606	 -0.110368	 25.262916	 25.259612	 42.864706	 0.688571	 0.712381	 0.518095	 0.170000	 0.528619	 0.183762	 0.871857	 0.882381	 
25.000000	 0.014156	 521.065184	 518.992459	 -0.539435	 62.265503	 62.594408	 0.840819	 37.734497	 37.405592	 -0.287026	 24.841131	 24.881412	 42.679895	 0.710000	 0.699545	 0.526818	 0.181818	 0.530909	 0.168636	 0.876364	 0.881364	 
25.000000	 -5.317888	 501.514245	 521.740845	 -0.501914	 62.477856	 62.839893	 0.780080	 37.522144	 37.160107	 0.099719	 25.133035	 25.027030	 43.211978	 0.687095	 0.701476	 0.512333	 0.176190	 0.527500	 0.165762	 0.862500	 0.871050	 
25.000000	 0.717234	 516.705719	 512.815713	 -0.319755	 62.616600	 62.801208	 0.423331	 37.383400	 37.198792	 -0.085454	 25.417651	 25.422580	 42.894739	 0.708227	 0.690409	 0.520909	 0.188682	 0.523136	 0.167273	 0.876864	 0.879091	 
25.000000	 -4.261059	 506.483112	 528.125676	 0.114736	 62.484204	 62.403943	 -0.251505	 37.515796	 37.596057	 -0.022435	 24.893539	 24.877104	 42.720206	 0.708048	 0.697667	 0.528095	 0.179000	 0.524500	 0.170524	 0.878095	 0.876667	 
25.000000	 -0.724562	 510.088731	 513.454208	 0.294498	 62.164718	 61.975115	 -0.529117	 37.835282	 38.024885	 -0.353759	 24.099597	 24.176285	 43.067989	 0.708182	 0.685909	 0.530500	 0.178591	 0.527273	 0.158636	 0.866364	 0.864500	 
25.000000	 2.042557	 519.385380	 508.341105	 -0.029659	 62.170010	 62.177725	 -0.025796	 37.829990	 37.822275	 -0.120022	 24.344622	 24.349801	 42.990105	 0.706667	 0.690000	 0.528095	 0.178095	 0.528095	 0.161905	 0.868095	 0.868095	 
25.000000	 5.166586	 529.744073	 502.662602	 0.055093	 62.510861	 62.469196	 -0.143250	 37.489139	 37.530804	 0.132552	 24.990894	 24.932774	 42.741843	 0.707273	 0.696818	 0.526818	 0.180000	 0.526818	 0.170000	 0.877727	 0.876818	 
25.000000	 2.098860	 520.665735	 509.409760	 1.329131	 62.944390	 62.109392	 -2.246841	 37.055610	 37.890608	 0.313952	 25.104153	 25.005327	 42.994526	 0.712857	 0.680476	 0.528095	 0.185238	 0.517143	 0.163333	 0.878571	 0.865714	 
25.000000	 4.444968	 532.576718	 508.677246	 0.963078	 62.841029	 62.235554	 -1.632071	 37.158971	 37.764446	 -1.185640	 24.923001	 25.186882	 42.813175	 0.676667	 0.732857	 0.531905	 0.143810	 0.521905	 0.210952	 0.881429	 0.876667	 
25.000000	 11.192173	 549.932262	 488.823249	 1.204043	 63.228425	 62.515397	 -2.095596	 36.771575	 37.484603	 0.098602	 25.717837	 25.840681	 42.622681	 0.664091	 0.740455	 0.528182	 0.135909	 0.515909	 0.224545	 0.890455	 0.876364	 
0.000000	 -1.759033	 488.608601	 493.674776	 -0.634573	 62.517792	 62.706763	 1.032994	 37.482208	 37.293237	 0.335838	 25.186697	 25.094769	 45.079311	 0.660952	 0.670455	 0.493810	 0.165455	 0.501364	 0.169091	 0.828571	 0.835909	 
0.000000	 -1.900940	 492.155728	 501.066502	 -0.687006	 62.951164	 63.372018	 1.081498	 37.048836	 36.627982	 -0.274682	 26.349489	 26.398736	 44.505053	 0.671364	 0.675455	 0.493636	 0.178636	 0.498182	 0.177273	 0.849091	 0.854091	 
0.000000	 -3.578430	 484.799778	 502.211838	 -1.356583	 62.481490	 63.317599	 2.176581	 37.518510	 36.682401	 0.263864	 25.812328	 25.690496	 44.996588	 0.666957	 0.667391	 0.489130	 0.176957	 0.501739	 0.165652	 0.833478	 0.844348	 
0.000000	 -0.642413	 491.308565	 494.328438	 0.356399	 63.295639	 63.060850	 -0.683797	 36.704361	 36.939150	 -0.320616	 26.321496	 26.394693	 45.038171	 0.675909	 0.658182	 0.492727	 0.183182	 0.489091	 0.169091	 0.843636	 0.841364	 
0.000000	 -3.612945	 485.170060	 502.632684	 -0.558958	 63.153115	 63.489757	 0.839421	 36.846885	 36.510243	 -0.068204	 26.641283	 26.644138	 44.961163	 0.665130	 0.669652	 0.487304	 0.177826	 0.491739	 0.177913	 0.843043	 0.847478	 
0.000000	 -1.013031	 493.894803	 498.455645	 0.016833	 63.338669	 63.321732	 -0.075686	 36.661331	 36.678268	 0.097357	 26.710982	 26.676482	 44.658682	 0.670909	 0.669545	 0.492273	 0.180455	 0.491818	 0.177727	 0.851364	 0.850000	 
0.000000	 -3.035360	 493.840186	 508.670857	 -1.016973	 63.074979	 63.710680	 1.694289	 36.925021	 36.289320	 -0.210406	 26.746668	 26.790277	 44.200775	 0.673273	 0.686273	 0.493182	 0.179636	 0.501773	 0.184500	 0.856409	 0.865909	 
0.000000	 -4.635351	 485.630790	 508.443496	 -1.239673	 63.020298	 63.797070	 2.080338	 36.979702	 36.202930	 -0.107857	 26.778772	 26.788722	 44.656405	 0.666087	 0.680000	 0.486957	 0.178261	 0.497826	 0.182174	 0.846957	 0.858261	 
0.000000	 -2.732482	 497.474783	 510.684841	 -0.752489	 63.237811	 63.709339	 1.262517	 36.762189	 36.290661	 0.041657	 27.005827	 26.983577	 43.965061	 0.679091	 0.684091	 0.494545	 0.184091	 0.500455	 0.183636	 0.863182	 0.868182	 
0.000000	 -2.647601	 504.631160	 517.799724	 -0.289421	 63.218115	 63.394301	 0.447817	 36.781885	 36.605699	 -0.003263	 26.621725	 26.597350	 43.386714	 0.689950	 0.691550	 0.506450	 0.185500	 0.506316	 0.182550	 0.875000	 0.877050	 
