Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 1.495118	 534.594325	 526.439745	 -2.146666	 60.065683	 61.357335	 3.244077	 39.934317	 38.642665	 -0.266271	 21.443056	 21.482218	 43.651875	 0.679000	 0.695000	 0.531000	 0.148500	 0.548000	 0.147000	 0.826000	 0.843500	 
0.000000	 1.818309	 528.761225	 518.954307	 -2.184291	 60.104038	 61.421684	 3.322463	 39.895962	 38.578316	 0.203051	 21.547978	 21.470932	 44.161324	 0.670870	 0.688261	 0.523913	 0.146087	 0.542609	 0.145652	 0.816957	 0.834348	 
0.000000	 3.574797	 528.384763	 509.700504	 -1.313156	 60.589183	 61.385968	 2.026839	 39.410817	 38.614032	 -0.293323	 21.942276	 21.968805	 44.480508	 0.673182	 0.676364	 0.521364	 0.152727	 0.532273	 0.144091	 0.817727	 0.829091	 
0.000000	 3.370754	 533.669998	 515.873322	 -1.057475	 60.528757	 61.165933	 1.603049	 39.471243	 38.834067	 0.221358	 21.722210	 21.664339	 44.141613	 0.679545	 0.680000	 0.527727	 0.151364	 0.536818	 0.143182	 0.823182	 0.831364	 
0.000000	 2.126386	 529.632780	 518.207603	 -1.764130	 60.113766	 61.173886	 2.655746	 39.886234	 38.826114	 -0.567848	 21.292213	 21.388161	 44.114805	 0.678182	 0.682273	 0.528182	 0.150455	 0.541364	 0.140909	 0.818182	 0.832727	 
0.000000	 3.330573	 536.748483	 518.597090	 -1.671382	 60.248912	 61.246051	 2.469109	 39.751088	 38.753949	 0.063492	 21.515733	 21.477071	 43.610681	 0.680000	 0.694545	 0.533182	 0.148182	 0.547273	 0.147273	 0.829545	 0.842727	 
0.000000	 3.490053	 536.671257	 516.867047	 -1.263064	 60.259723	 61.009756	 1.845987	 39.740277	 38.990244	 -0.079252	 21.214950	 21.187905	 43.776219	 0.684500	 0.694286	 0.535000	 0.148571	 0.550000	 0.144286	 0.825500	 0.842857	 
0.000000	 5.170889	 542.150496	 515.078307	 -1.046414	 60.488453	 61.119357	 1.589001	 39.511547	 38.880643	 -0.045910	 21.692413	 21.676047	 43.478899	 0.690000	 0.686364	 0.535455	 0.155455	 0.543182	 0.143182	 0.832381	 0.841818	 
25.000000	 3.644224	 530.558063	 512.699316	 -1.004547	 59.778036	 60.454155	 1.472308	 40.221964	 39.545845	 -0.702513	 20.276173	 20.198789	 44.358820	 0.670909	 0.684762	 0.535909	 0.135909	 0.546667	 0.138095	 0.809524	 0.821429	 
25.000000	 3.909419	 542.822178	 521.721721	 -3.002463	 59.213049	 61.012364	 4.492067	 40.786951	 38.987636	 1.299107	 20.305192	 20.175839	 43.459609	 0.675000	 0.704091	 0.537273	 0.136818	 0.562727	 0.141364	 0.817727	 0.840909	 
25.000000	 4.266738	 544.456798	 521.435568	 -2.156045	 59.607707	 60.899281	 3.223064	 40.392293	 39.100719	 -0.516970	 20.466676	 20.513333	 43.460007	 0.683636	 0.698182	 0.540455	 0.143636	 0.558182	 0.140000	 0.823182	 0.841818	 
25.000000	 2.984891	 541.660829	 525.588304	 -1.943234	 59.621122	 60.775783	 2.847248	 40.378878	 39.224217	 -0.133592	 20.397159	 20.396632	 43.511905	 0.683636	 0.695000	 0.540909	 0.143182	 0.556818	 0.138182	 0.822273	 0.838182	 
25.000000	 5.341859	 547.216341	 518.561916	 -1.421481	 60.142700	 60.997619	 2.145928	 39.857300	 39.002381	 -0.016169	 21.181536	 21.161239	 43.409344	 0.697619	 0.684762	 0.538571	 0.157619	 0.548500	 0.134762	 0.831429	 0.842381	 
25.000000	 5.487670	 547.940697	 518.466121	 -1.619938	 59.908468	 60.892845	 2.418390	 40.091532	 39.107155	 -0.134918	 20.649284	 20.631711	 43.730952	 0.693636	 0.684545	 0.539091	 0.155000	 0.555000	 0.129545	 0.823636	 0.839545	 
