Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -2.847342	 528.384946	 541.813191	 1.104780	 64.627292	 63.913735	 -2.015426	 35.372708	 36.086265	 0.136034	 28.567454	 28.513821	 43.198243	 0.692500	 0.695000	 0.501000	 0.192500	 0.491500	 0.203500	 0.898000	 0.887500	 
0.000000	 -3.711168	 509.787813	 528.951456	 1.176649	 64.866817	 64.101869	 -2.185929	 35.133183	 35.898131	 -0.608183	 28.955776	 28.976583	 44.612791	 0.674348	 0.672174	 0.483043	 0.190435	 0.472609	 0.199565	 0.872609	 0.862609	 
0.000000	 -0.769171	 518.864408	 522.561515	 1.466977	 65.246155	 64.290890	 -2.739846	 34.753845	 35.709110	 0.019521	 29.511170	 29.493035	 44.590857	 0.674545	 0.672727	 0.480909	 0.193182	 0.468636	 0.204091	 0.878182	 0.865909	 
0.000000	 -2.202729	 505.441899	 516.122628	 1.349606	 65.227851	 64.348278	 -2.526322	 34.772149	 35.651722	 -0.125601	 29.562858	 29.589122	 45.492452	 0.656818	 0.663182	 0.470455	 0.185909	 0.458636	 0.204545	 0.860455	 0.849091	 
0.000000	 -2.260048	 503.731045	 514.789212	 1.257092	 65.220047	 64.402535	 -2.338751	 34.779953	 35.597465	 0.102152	 29.612013	 29.565215	 45.717431	 0.654783	 0.658696	 0.467391	 0.186957	 0.457391	 0.201304	 0.856087	 0.845652	 
0.000000	 -3.155545	 490.662614	 505.983042	 0.359332	 65.262892	 65.025253	 -0.701112	 34.737108	 34.974747	 -0.156599	 30.176573	 30.209851	 46.533516	 0.642917	 0.646250	 0.450833	 0.192083	 0.447083	 0.197391	 0.841667	 0.838333	 
0.000000	 0.105296	 511.248912	 510.394280	 1.420959	 65.648252	 64.717462	 -2.698772	 34.351748	 35.282538	 0.110999	 30.364489	 30.328883	 45.351513	 0.666364	 0.655909	 0.466818	 0.200455	 0.455000	 0.200909	 0.868636	 0.856364	 
0.000000	 -2.183003	 509.358052	 520.093892	 0.880768	 65.504070	 64.923917	 -1.700433	 34.495930	 35.076083	 -0.411991	 30.376392	 30.483074	 45.050522	 0.660000	 0.672174	 0.467273	 0.192174	 0.459130	 0.213043	 0.872727	 0.864348	 
25.000000	 0.506863	 514.115291	 514.030715	 1.837436	 65.222032	 64.024717	 -3.438062	 34.777968	 35.975283	 0.162361	 29.266585	 29.179293	 44.677483	 0.655909	 0.685000	 0.483636	 0.175455	 0.468182	 0.216818	 0.877273	 0.860455	 
25.000000	 2.823825	 515.886254	 500.855832	 2.708723	 66.003249	 64.234343	 -5.101107	 33.996751	 35.765657	 -0.135464	 30.223914	 30.245490	 45.647292	 0.660000	 0.654348	 0.470435	 0.190435	 0.446957	 0.207391	 0.867826	 0.844783	 
25.000000	 -2.338878	 508.864509	 520.572292	 2.953803	 65.870755	 63.949981	 -5.493927	 34.129245	 36.050019	 -0.015508	 29.820536	 29.815427	 45.082901	 0.671304	 0.661304	 0.480000	 0.190000	 0.454348	 0.206957	 0.876957	 0.851304	 
25.000000	 -0.265914	 512.379607	 513.447994	 2.767592	 65.637981	 63.843684	 -5.103050	 34.362019	 36.156316	 0.040153	 29.490804	 29.469233	 45.234257	 0.665455	 0.660909	 0.479545	 0.185909	 0.455909	 0.205000	 0.870909	 0.846818	 
25.000000	 -3.563848	 506.333976	 524.257856	 2.185305	 65.600358	 64.180324	 -4.055566	 34.399642	 35.819676	 0.082520	 29.794514	 29.764783	 45.094063	 0.661818	 0.666957	 0.476522	 0.186957	 0.457826	 0.209130	 0.873043	 0.853913	 
25.000000	 -4.087480	 507.167869	 527.332127	 2.071937	 65.355818	 64.007757	 -3.860916	 34.644182	 35.992243	 -0.247838	 29.354318	 29.407958	 44.650107	 0.663182	 0.681364	 0.484091	 0.179545	 0.465455	 0.215909	 0.878636	 0.860909	 
25.000000	 0.499192	 512.849582	 509.832204	 3.083781	 65.351756	 63.359747	 -5.631026	 34.648244	 36.640253	 -0.060974	 28.737689	 28.751062	 45.280135	 0.659565	 0.665000	 0.486957	 0.173913	 0.457727	 0.208261	 0.869130	 0.842174	 
25.000000	 -2.717424	 505.097887	 518.804260	 3.807813	 65.902440	 63.435612	 -7.006400	 34.097560	 36.564388	 0.105415	 29.339393	 29.298886	 45.196508	 0.658636	 0.670000	 0.485455	 0.172273	 0.453182	 0.216818	 0.875000	 0.842273	 
