Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 15.292435	 552.745719	 473.841070	 0.226903	 61.208886	 61.051806	 -0.440276	 38.791114	 38.948194	 -0.357909	 22.159088	 22.214130	 45.580155	 0.669048	 0.646190	 0.512381	 0.157143	 0.510952	 0.135238	 0.804286	 0.803333	 
0.000000	 15.855970	 557.656295	 475.346377	 0.056375	 61.398236	 61.350744	 -0.174784	 38.601764	 38.649256	 -0.085415	 22.734168	 22.725967	 45.008015	 0.675217	 0.659565	 0.515652	 0.159130	 0.515217	 0.144348	 0.819130	 0.818696	 
0.000000	 14.748315	 552.316404	 475.962753	 -0.495229	 61.321712	 61.606790	 0.658820	 38.678288	 38.393210	 0.189991	 22.977613	 22.913136	 45.394212	 0.664783	 0.656522	 0.506957	 0.156957	 0.510870	 0.145652	 0.810870	 0.813478	 
0.000000	 16.857373	 551.138559	 465.325443	 -0.306122	 61.349672	 61.521179	 0.377846	 38.650328	 38.478821	 -0.260390	 22.846035	 22.867171	 45.986824	 0.660043	 0.645174	 0.502609	 0.158304	 0.504739	 0.140435	 0.800913	 0.803478	 
0.000000	 17.473808	 556.917233	 467.137422	 0.267789	 61.427735	 61.255246	 -0.480432	 38.572265	 38.744754	 -0.197178	 22.720381	 22.745132	 45.558938	 0.665455	 0.650000	 0.510000	 0.156364	 0.506818	 0.143182	 0.809545	 0.806364	 
0.000000	 15.899417	 559.803120	 477.104139	 0.152320	 61.283800	 61.182398	 -0.295897	 38.716200	 38.817602	 0.042144	 22.438494	 22.395038	 45.169515	 0.675652	 0.655217	 0.516087	 0.158261	 0.515652	 0.139565	 0.814348	 0.813478	 
0.000000	 15.312514	 557.392754	 477.531233	 -0.445908	 61.098065	 61.358087	 0.618665	 38.901935	 38.641913	 -0.751843	 22.438575	 22.574465	 44.852668	 0.671364	 0.665909	 0.517273	 0.155455	 0.519091	 0.146818	 0.817727	 0.821364	 
0.000000	 12.680071	 562.417436	 494.897840	 -0.273889	 61.374489	 61.423191	 0.329183	 38.625511	 38.576809	 0.196883	 22.923617	 22.841501	 43.886243	 0.683636	 0.683636	 0.525909	 0.157273	 0.528636	 0.155000	 0.839545	 0.840909	 
25.000000	 14.593510	 551.037031	 473.638576	 0.988184	 61.579806	 61.102003	 -1.701084	 38.420194	 38.897997	 0.634227	 23.044176	 22.744153	 45.631890	 0.662174	 0.647826	 0.510455	 0.155217	 0.510909	 0.142609	 0.804783	 0.803043	 
25.000000	 13.478971	 550.394001	 481.209067	 1.438464	 61.893085	 60.967645	 -2.398115	 38.106915	 39.032355	 0.872934	 23.076438	 22.979017	 45.633921	 0.682609	 0.633913	 0.513043	 0.168261	 0.495652	 0.138261	 0.819565	 0.807727	 
25.000000	 15.557385	 553.828516	 473.286798	 1.779954	 62.068990	 60.963522	 -2.917536	 37.931010	 39.036478	 -0.433160	 23.034997	 23.097900	 45.123742	 0.688261	 0.641304	 0.519565	 0.170000	 0.503913	 0.137391	 0.826087	 0.811304	 
