Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 15.386602	 549.534912	 470.488536	 -0.716679	 60.796902	 61.227213	 1.076578	 39.203098	 38.772787	 0.400535	 22.030243	 21.907156	 46.000353	 0.657273	 0.648182	 0.505909	 0.150909	 0.513182	 0.135000	 0.793636	 0.799091	 
0.000000	 17.126677	 559.139350	 470.791379	 -0.643692	 61.063579	 61.344421	 0.964158	 38.936421	 38.655579	 -0.135261	 22.232866	 22.243352	 45.322602	 0.666364	 0.653478	 0.511364	 0.156522	 0.515217	 0.138261	 0.805000	 0.810000	 
0.000000	 15.430215	 551.084372	 471.907033	 -0.687276	 61.077096	 61.489447	 1.029157	 38.922904	 38.510553	 -0.327281	 22.551679	 22.578855	 45.877258	 0.660000	 0.648696	 0.503913	 0.156087	 0.509130	 0.139565	 0.799130	 0.804783	 
0.000000	 14.144749	 559.247763	 485.033030	 -0.476474	 61.112029	 61.395839	 0.699488	 38.887971	 38.604161	 0.217229	 22.574916	 22.509938	 44.923070	 0.665909	 0.666818	 0.515000	 0.152273	 0.518636	 0.148182	 0.816818	 0.819091	 
0.000000	 14.804838	 566.213853	 487.013689	 0.556024	 61.535057	 61.179391	 -0.980969	 38.464943	 38.820609	 -0.013050	 22.697851	 22.673847	 44.468124	 0.686087	 0.665652	 0.524348	 0.160870	 0.520000	 0.145652	 0.830870	 0.826522	 
0.000000	 15.656540	 560.181093	 478.528227	 -0.604397	 61.256609	 61.618988	 0.903538	 38.743391	 38.381012	 -0.467185	 22.818984	 22.898738	 45.191620	 0.671364	 0.658182	 0.510455	 0.161364	 0.515000	 0.143182	 0.813636	 0.819545	 
0.000000	 13.757015	 560.037660	 487.269549	 -0.671023	 60.953262	 61.348984	 0.959818	 39.046738	 38.651016	 -0.227547	 22.361393	 22.365552	 44.845961	 0.666957	 0.669565	 0.516522	 0.150435	 0.520870	 0.148696	 0.816087	 0.820000	 
0.000000	 13.098347	 553.805339	 485.522490	 -0.737195	 61.170015	 61.613518	 1.112043	 38.829985	 38.386482	 -0.147713	 22.717777	 22.717002	 45.126755	 0.669545	 0.663182	 0.511364	 0.157727	 0.518182	 0.145000	 0.813636	 0.820909	 
25.000000	 14.230514	 564.120000	 491.503426	 -1.283009	 60.018240	 60.932548	 1.794771	 39.981760	 39.067452	 -0.719310	 21.046128	 21.087224	 43.762719	 0.686364	 0.685909	 0.532727	 0.154545	 0.550909	 0.135000	 0.822727	 0.840455	 
25.000000	 13.431360	 557.550090	 486.992698	 -0.458683	 60.410292	 60.680159	 0.653887	 39.589708	 39.319841	 -0.316797	 20.999802	 21.050449	 44.941569	 0.681364	 0.658182	 0.526364	 0.154091	 0.530455	 0.127727	 0.806818	 0.812273	 
25.000000	 12.776721	 558.241515	 489.657136	 -0.215362	 60.442010	 60.502294	 0.282017	 39.557990	 39.497706	 0.297999	 21.014809	 20.994264	 44.894887	 0.675652	 0.662174	 0.527826	 0.146957	 0.530870	 0.131304	 0.806957	 0.809130	 
25.000000	 10.777706	 552.474351	 495.485347	 0.233687	 60.630628	 60.476577	 -0.440035	 39.369372	 39.523423	 -0.473007	 21.087654	 21.118041	 44.810840	 0.675455	 0.663182	 0.529545	 0.147273	 0.527273	 0.135909	 0.812273	 0.810455	 
25.000000	 11.754924	 554.939936	 493.050703	 1.184034	 61.220724	 60.483348	 -1.950576	 38.779276	 39.516652	 0.088915	 21.727700	 21.679142	 45.050545	 0.675217	 0.656087	 0.526087	 0.149130	 0.516522	 0.139565	 0.815652	 0.805217	 
25.000000	 15.127687	 563.769922	 484.017886	 0.904208	 60.261854	 59.764883	 -1.497024	 39.738146	 40.235117	 -0.236151	 19.897473	 19.927768	 44.697880	 0.687273	 0.656364	 0.540455	 0.146364	 0.535000	 0.121364	 0.807727	 0.802727	 
25.000000	 14.047321	 556.654077	 485.354882	 0.325898	 60.210779	 60.004215	 -0.557562	 39.789221	 39.995785	 0.205521	 20.474285	 20.270184	 44.710976	 0.678095	 0.656818	 0.538636	 0.146364	 0.531364	 0.125455	 0.805238	 0.803182	 
25.000000	 13.130712	 556.261744	 487.142851	 1.732574	 60.737075	 59.678166	 -2.723314	 39.262925	 40.321834	 -0.822791	 20.349488	 20.534994	 45.143398	 0.680000	 0.652174	 0.536957	 0.143043	 0.523478	 0.128696	 0.807826	 0.795217	 
25.000000	 14.272381	 564.201093	 488.496488	 3.093721	 61.750564	 59.853504	 -4.906698	 38.249436	 40.146496	 -0.256895	 21.641231	 21.660105	 44.725106	 0.691818	 0.649545	 0.538182	 0.152727	 0.511818	 0.137727	 0.828636	 0.802273	 
25.000000	 12.428014	 557.000495	 491.569512	 1.352000	 61.306328	 60.476850	 -2.147423	 38.693672	 39.523150	 -0.057978	 21.789843	 21.733593	 44.921785	 0.673478	 0.662174	 0.527826	 0.145652	 0.517391	 0.144783	 0.819130	 0.807826	 
25.000000	 14.870015	 566.509693	 487.458941	 2.176826	 61.498173	 60.163886	 -3.448284	 38.501827	 39.836114	 -0.585420	 21.610372	 21.679715	 44.751248	 0.682727	 0.659545	 0.535000	 0.148636	 0.516818	 0.142727	 0.825000	 0.808182	 
25.000000	 10.647106	 550.677620	 494.272672	 2.160852	 61.314051	 59.979661	 -3.386613	 38.685949	 40.020339	 0.091411	 21.204449	 21.179813	 44.910923	 0.673478	 0.662174	 0.536087	 0.137391	 0.516522	 0.145652	 0.819565	 0.799565	 
25.000000	 11.159664	 556.286893	 496.934540	 1.443589	 61.673468	 60.772358	 -2.396046	 38.326532	 39.227642	 -0.163822	 22.417324	 22.407623	 44.538968	 0.687727	 0.662273	 0.529091	 0.157273	 0.517273	 0.145000	 0.831364	 0.819545	 
25.000000	 11.134785	 551.632079	 492.860669	 1.568305	 61.462864	 60.489831	 -2.563331	 38.537136	 39.510169	 -0.940748	 21.936544	 21.927822	 45.063343	 0.669091	 0.661818	 0.526364	 0.146190	 0.513636	 0.148182	 0.818636	 0.805909	 
0.000000	 13.475638	 553.513441	 483.180149	 0.494558	 61.327251	 61.006380	 -0.904664	 38.672749	 38.993620	 -0.073865	 22.367634	 22.328001	 45.232878	 0.663636	 0.659565	 0.516957	 0.149130	 0.512609	 0.146957	 0.810455	 0.808696	 
0.000000	 14.349970	 550.768873	 476.545917	 -0.068909	 60.965338	 60.980717	 -0.070263	 39.034662	 39.019283	 -0.472149	 21.744294	 21.992096	 45.923450	 0.662174	 0.643636	 0.508182	 0.151304	 0.510000	 0.133636	 0.796957	 0.797826	 
