Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -0.536203	 573.145912	 575.732713	 -0.560058	 61.753411	 61.860992	 0.842198	 38.246589	 38.139008	 -0.053999	 23.636572	 23.590899	 40.812413	 0.731500	 0.738000	 0.560550	 0.171450	 0.562500	 0.175500	 0.908500	 0.909450	 
0.000000	 -2.767989	 567.176044	 582.370575	 -0.522244	 61.582230	 61.901558	 0.821584	 38.417770	 38.098442	 0.009539	 23.539815	 23.530945	 41.374373	 0.711000	 0.736500	 0.552000	 0.160500	 0.556000	 0.180500	 0.893500	 0.897000	 
0.000000	 -1.243666	 596.108494	 602.924234	 -1.201134	 61.400996	 62.135361	 1.889469	 38.599004	 37.864639	 -0.538054	 23.448173	 23.561274	 39.147990	 0.757000	 0.782500	 0.582000	 0.173000	 0.593000	 0.189500	 0.942000	 0.955500	 
0.000000	 -4.016743	 564.857581	 585.127852	 -1.214538	 61.208257	 61.937145	 1.818612	 38.791743	 38.062855	 0.437098	 23.157062	 23.033529	 41.657137	 0.705238	 0.737143	 0.548571	 0.155714	 0.560952	 0.176190	 0.882381	 0.898500	 
0.000000	 0.260893	 568.423029	 566.098410	 -0.513563	 62.578180	 62.897715	 0.845899	 37.421820	 37.102285	 -0.256574	 25.489749	 25.529084	 41.926423	 0.701857	 0.728143	 0.530905	 0.171905	 0.534762	 0.193381	 0.895714	 0.900048	 
0.000000	 -1.170848	 582.251183	 588.507623	 -1.928533	 60.927036	 62.102091	 3.008234	 39.072964	 37.897909	 -0.561828	 23.078784	 23.177624	 39.935826	 0.728500	 0.771500	 0.569000	 0.161000	 0.584500	 0.187000	 0.916000	 0.932500	 
0.000000	 1.005814	 593.439592	 586.812457	 -1.058986	 61.293047	 61.942432	 1.679830	 38.706953	 38.057568	 0.159534	 23.216450	 23.162357	 40.122692	 0.733500	 0.762500	 0.569550	 0.164950	 0.580550	 0.181950	 0.916950	 0.927450	 
0.000000	 -2.366947	 585.642609	 599.055062	 -1.832766	 60.808810	 61.927789	 2.874093	 39.191190	 38.072211	 -0.047129	 22.709665	 22.694265	 39.929560	 0.734500	 0.770500	 0.572550	 0.160950	 0.590000	 0.180500	 0.914000	 0.931450	 
25.000000	 2.882439	 590.399547	 573.415842	 -2.874583	 60.908487	 62.711139	 4.559792	 39.091513	 37.288861	 -0.452017	 23.315655	 23.499240	 40.989795	 0.713500	 0.758000	 0.548500	 0.166842	 0.578947	 0.176316	 0.891579	 0.922500	 
25.000000	 2.405807	 576.901789	 562.177596	 -2.295728	 61.351148	 62.768541	 3.706825	 38.648852	 37.231459	 0.322076	 24.178544	 24.089412	 41.415386	 0.713333	 0.735238	 0.539048	 0.173333	 0.560000	 0.175238	 0.889524	 0.908571	 
25.000000	 0.586315	 582.836287	 578.444777	 -2.543323	 61.374947	 62.857337	 3.984473	 38.625053	 37.142663	 -0.963988	 24.114314	 24.295223	 40.931200	 0.715000	 0.756500	 0.542632	 0.167500	 0.564737	 0.184500	 0.900526	 0.924000	 
25.000000	 -4.623465	 577.043835	 603.056312	 -2.196525	 61.462999	 62.772473	 3.512790	 38.537001	 37.227527	 -0.253393	 24.390318	 24.420816	 40.058893	 0.720000	 0.774000	 0.555500	 0.167000	 0.575500	 0.198500	 0.921000	 0.941000	 
25.000000	 -6.110452	 571.419540	 607.137233	 -1.494209	 61.757410	 62.682711	 2.430963	 38.242590	 37.317289	 -0.048767	 24.387918	 24.390476	 40.159261	 0.722000	 0.774500	 0.558500	 0.163500	 0.573000	 0.201500	 0.923000	 0.938000	 
25.000000	 -4.078124	 580.404395	 604.089066	 -1.507004	 61.541806	 62.315493	 2.401847	 38.458194	 37.684507	 0.173943	 23.923527	 23.827294	 40.092146	 0.723000	 0.773000	 0.563500	 0.159000	 0.575500	 0.197500	 0.922000	 0.932000	 
25.000000	 -4.014166	 585.163170	 608.684634	 -1.267255	 61.315271	 62.093126	 2.015683	 38.684729	 37.906874	 -0.484510	 23.380814	 23.467985	 39.315340	 0.734500	 0.791000	 0.579000	 0.157500	 0.590000	 0.201000	 0.936000	 0.948500	 
25.000000	 -3.076698	 585.256419	 603.199450	 -0.239769	 61.713964	 61.857779	 0.357696	 38.286036	 38.142221	 0.129358	 23.557286	 23.513768	 40.241284	 0.728500	 0.764500	 0.569000	 0.158500	 0.572000	 0.192500	 0.920500	 0.923000	 
25.000000	 2.125076	 596.117970	 583.095490	 1.102256	 62.254341	 61.567966	 -1.819795	 37.745659	 38.432034	 0.183706	 23.875091	 23.802509	 39.916756	 0.757000	 0.745000	 0.577000	 0.179500	 0.567000	 0.178000	 0.936000	 0.924500	 
25.000000	 0.196131	 593.835028	 592.088480	 0.427677	 61.954061	 61.679909	 -0.760309	 38.045939	 38.320091	 -0.510818	 23.542500	 23.655359	 39.746096	 0.748000	 0.766500	 0.580000	 0.167500	 0.575500	 0.191000	 0.936000	 0.934000	 
25.000000	 1.590284	 580.513229	 571.075242	 1.019530	 62.592330	 61.946256	 -1.764212	 37.407670	 38.053744	 -0.356098	 24.339155	 24.513815	 41.191404	 0.720000	 0.736000	 0.554000	 0.166000	 0.545000	 0.191000	 0.912000	 0.902000	 
25.000000	 -1.527090	 570.806013	 579.034451	 -1.071216	 61.565975	 62.211249	 1.621278	 38.434025	 37.788751	 0.055663	 23.778843	 23.742944	 41.119454	 0.717143	 0.739000	 0.551429	 0.165714	 0.561429	 0.180952	 0.898571	 0.908095	 
25.000000	 -1.461218	 574.808668	 582.945655	 0.016447	 62.334953	 62.316322	 -0.085901	 37.665047	 37.683678	 -0.169921	 24.637448	 24.662992	 40.905891	 0.721500	 0.747000	 0.553000	 0.167500	 0.552500	 0.194500	 0.914500	 0.914500	 
25.000000	 -1.537228	 587.956483	 595.840096	 -1.762109	 61.004607	 62.083195	 2.781978	 38.995393	 37.916805	 -0.481831	 23.182273	 23.289575	 39.240216	 0.733500	 0.789000	 0.579000	 0.159000	 0.592500	 0.196500	 0.933500	 0.948000	 
0.000000	 -6.701503	 568.666261	 606.472667	 -1.441633	 60.642124	 61.513705	 2.205016	 39.357876	 38.486295	 0.180760	 22.084282	 22.037309	 39.696669	 0.728500	 0.785263	 0.583000	 0.143000	 0.598000	 0.191000	 0.917000	 0.932000	 
0.000000	 -1.396273	 571.422394	 578.795685	 -0.134572	 61.401455	 61.474173	 0.147087	 38.598545	 38.525827	 0.075396	 22.861302	 22.819011	 41.158686	 0.716500	 0.743500	 0.562000	 0.153500	 0.564000	 0.179500	 0.895500	 0.897000	 
0.000000	 1.741462	 579.428821	 569.159018	 0.557085	 62.228000	 61.876378	 -0.952697	 37.772000	 38.123622	 0.036381	 24.092166	 24.049907	 41.429062	 0.714286	 0.735238	 0.552381	 0.161429	 0.548095	 0.187143	 0.901429	 0.896667	 
