Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -1.838366	 579.084057	 589.458271	 0.120420	 63.181888	 63.101557	 -0.237963	 36.818112	 36.898443	 0.213008	 26.323350	 26.241156	 44.191528	 0.666190	 0.691905	 0.500476	 0.164286	 0.500000	 0.191905	 0.858095	 0.856190	 
0.000000	 -0.333515	 586.613070	 588.322840	 -1.015268	 62.995788	 63.483143	 1.715318	 37.004212	 36.516857	 -0.281364	 26.453740	 26.495772	 43.944768	 0.668182	 0.697727	 0.499091	 0.170000	 0.505455	 0.192273	 0.860455	 0.867727	 
0.000000	 -1.794379	 586.378422	 596.276081	 0.069192	 63.396274	 63.345564	 -0.172000	 36.603726	 36.654436	 -0.181029	 26.731451	 26.755576	 43.529440	 0.675909	 0.704091	 0.505455	 0.169545	 0.504545	 0.199545	 0.874091	 0.873636	 
0.000000	 -2.554593	 588.543970	 603.337174	 -0.490710	 63.547200	 63.854923	 0.824700	 36.452800	 36.145077	 0.036756	 27.435314	 27.395408	 43.133683	 0.680000	 0.709048	 0.502381	 0.178571	 0.506667	 0.202381	 0.884286	 0.887619	 
0.000000	 -2.025855	 588.601027	 600.504397	 -0.194986	 63.497687	 63.615275	 0.292744	 36.502313	 36.384725	 0.008903	 27.123553	 27.100732	 43.413983	 0.679091	 0.702727	 0.502727	 0.176364	 0.504545	 0.198182	 0.877727	 0.879091	 
0.000000	 -2.110231	 588.190194	 600.272777	 -0.636226	 63.601016	 64.002823	 1.090469	 36.398984	 35.997177	 -0.128264	 27.591386	 27.616980	 43.332438	 0.675909	 0.709545	 0.498636	 0.177273	 0.504091	 0.205455	 0.880909	 0.886818	 
0.000000	 -1.448814	 596.020618	 605.504604	 -0.526750	 63.414675	 63.743951	 0.877552	 36.585325	 36.256049	 -0.042338	 27.105283	 27.107710	 42.867352	 0.682857	 0.716190	 0.503500	 0.178095	 0.512000	 0.201429	 0.885238	 0.894286	 
0.000000	 0.890049	 605.353343	 599.830337	 -0.677385	 63.399160	 63.824495	 1.142061	 36.600840	 36.175505	 -0.061587	 27.234610	 27.243376	 42.751176	 0.693333	 0.710952	 0.507619	 0.184762	 0.513333	 0.197619	 0.890000	 0.895714	 
25.000000	 -2.030814	 590.201089	 601.927997	 -0.252688	 63.563587	 63.721547	 0.420666	 36.436413	 36.278453	 -0.278603	 27.219270	 27.279108	 43.393805	 0.690000	 0.702727	 0.505000	 0.184545	 0.505238	 0.195455	 0.879048	 0.887273	 
25.000000	 -0.404527	 594.683423	 597.590967	 -1.556534	 63.412437	 64.382297	 2.629147	 36.587563	 35.617703	 -0.016245	 27.963503	 27.944790	 42.931980	 0.685909	 0.709091	 0.495455	 0.190455	 0.509545	 0.199545	 0.886364	 0.899545	 
