Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -7.091276	 473.334417	 508.457611	 -0.349199	 63.355151	 63.570879	 0.563268	 36.644849	 36.429121	 -0.287038	 26.913849	 26.974726	 46.616181	 0.632609	 0.654783	 0.467727	 0.163913	 0.471304	 0.183478	 0.815652	 0.818696	 
0.000000	 -4.589727	 486.710216	 509.289171	 0.159106	 63.674135	 63.561915	 -0.362544	 36.325865	 36.438085	 0.006637	 27.248244	 27.223502	 45.871597	 0.642174	 0.665217	 0.476522	 0.166087	 0.475217	 0.190000	 0.833043	 0.831304	 
0.000000	 -4.206889	 476.897597	 497.137360	 -1.429297	 63.004438	 63.903876	 2.426439	 36.995562	 36.096124	 -0.280885	 26.896888	 26.953671	 47.056293	 0.620870	 0.655652	 0.460435	 0.159565	 0.471304	 0.184348	 0.803478	 0.815217	 
0.000000	 -3.887375	 490.475814	 509.594229	 -0.988654	 63.313007	 63.934411	 1.672143	 36.686993	 36.065589	 0.175059	 27.259507	 27.201498	 45.779255	 0.638696	 0.671739	 0.472609	 0.166087	 0.481304	 0.190435	 0.830000	 0.837826	 
0.000000	 -1.592261	 493.923139	 501.391231	 -0.356650	 63.952910	 64.174891	 0.585318	 36.047090	 35.825109	 -0.013010	 28.139699	 28.115595	 46.190676	 0.636522	 0.662174	 0.465217	 0.171304	 0.468261	 0.193913	 0.830870	 0.833478	 
0.000000	 -5.103671	 487.903365	 512.978180	 -0.624637	 64.011539	 64.406887	 1.075592	 35.988461	 35.593113	 -0.043012	 28.413259	 28.418493	 45.783207	 0.642609	 0.668261	 0.466565	 0.176043	 0.471739	 0.196522	 0.839130	 0.844304	 
0.000000	 -5.239033	 490.818749	 516.945628	 -0.174854	 63.928414	 64.036933	 0.284670	 36.071586	 35.963067	 -0.086957	 27.988684	 28.003890	 45.345462	 0.650435	 0.671304	 0.475652	 0.175652	 0.476522	 0.194783	 0.846087	 0.846957	 
0.000000	 -7.569217	 483.152155	 520.961062	 -1.305965	 63.383033	 64.210302	 2.258989	 36.616967	 35.789698	 0.044249	 27.588561	 27.559054	 45.481556	 0.644545	 0.675909	 0.472273	 0.171364	 0.483636	 0.192273	 0.836364	 0.847273	 
25.000000	 -2.678057	 495.171907	 507.830385	 -0.198325	 63.634089	 63.763030	 0.253415	 36.365911	 36.236970	 -0.139777	 27.257616	 27.430122	 45.673216	 0.651818	 0.665217	 0.475652	 0.176364	 0.482174	 0.183043	 0.835455	 0.841364	 
25.000000	 -3.757958	 497.217171	 515.945443	 0.943309	 63.398406	 62.797264	 -1.657284	 36.601594	 37.202736	 -0.275820	 26.136462	 26.191252	 45.227737	 0.659130	 0.668696	 0.494348	 0.166087	 0.486522	 0.182174	 0.841304	 0.831364	 
25.000000	 -5.477283	 497.038981	 524.322343	 -0.704278	 62.484827	 62.869720	 1.101507	 37.515173	 37.130280	 -0.369670	 25.230509	 25.412040	 44.547850	 0.657273	 0.690909	 0.501818	 0.154091	 0.504545	 0.186364	 0.841818	 0.845000	 
25.000000	 -4.113781	 493.901692	 514.116375	 -2.045354	 62.615941	 63.964908	 3.444273	 37.384059	 36.035092	 0.140104	 26.507478	 26.453465	 45.119427	 0.644783	 0.685217	 0.479130	 0.165217	 0.498696	 0.186522	 0.831739	 0.850435	 
25.000000	 -4.092194	 489.976572	 509.958087	 -1.188296	 63.007095	 63.757566	 2.037483	 36.992905	 36.242434	 -0.168187	 26.736449	 26.755684	 45.684019	 0.643182	 0.670909	 0.476364	 0.167273	 0.486364	 0.184545	 0.827727	 0.838182	 
25.000000	 -4.562365	 499.557921	 522.059980	 0.776022	 63.025585	 62.465053	 -1.380748	 36.974415	 37.534947	 0.368441	 25.540753	 25.356235	 45.001189	 0.659130	 0.673478	 0.500000	 0.158696	 0.492273	 0.179130	 0.838696	 0.832174	 
25.000000	 -2.646862	 501.498579	 514.842450	 0.799388	 63.212642	 62.695988	 -1.456188	 36.787358	 37.304012	 -0.116178	 25.868299	 25.879221	 45.328103	 0.656087	 0.667826	 0.494348	 0.163043	 0.487870	 0.179957	 0.836913	 0.830870	 
25.000000	 -1.484679	 507.252816	 514.574729	 1.167724	 63.201700	 62.448645	 -2.036007	 36.798300	 37.551355	 -0.323082	 25.515559	 25.583771	 44.860936	 0.659091	 0.679091	 0.504091	 0.154545	 0.491364	 0.187727	 0.845455	 0.833636	 
25.000000	 -0.217554	 506.029897	 506.838448	 1.229632	 63.226903	 62.408796	 -2.152982	 36.773097	 37.591204	 -0.326744	 25.401084	 25.467635	 45.364005	 0.650000	 0.673478	 0.500435	 0.150435	 0.486522	 0.186957	 0.836522	 0.826818	 
25.000000	 -6.062589	 494.913506	 525.507431	 0.572678	 63.047636	 62.682050	 -1.010180	 36.952364	 37.317950	 0.424448	 25.752719	 25.633722	 45.089810	 0.638182	 0.692727	 0.496364	 0.140909	 0.492727	 0.200000	 0.839091	 0.833636	 
25.000000	 -5.504687	 495.456033	 523.046298	 0.234010	 63.062445	 62.867628	 -0.462067	 36.937555	 37.132372	 -0.173212	 25.863192	 25.890879	 45.077443	 0.650000	 0.679565	 0.493913	 0.156522	 0.491739	 0.187826	 0.838261	 0.836087	 
25.000000	 -6.406663	 493.522487	 525.851876	 0.643444	 63.208278	 62.686883	 -1.186189	 36.791722	 37.313117	 0.062498	 25.762830	 25.723544	 45.183087	 0.650000	 0.678636	 0.497273	 0.152727	 0.489545	 0.189091	 0.839545	 0.831364	 
25.000000	 -5.005730	 500.572102	 526.030743	 0.464158	 63.244839	 62.942002	 -0.867949	 36.755161	 37.057998	 -0.078071	 26.194764	 26.204591	 44.818018	 0.653913	 0.685217	 0.496087	 0.157391	 0.491739	 0.193478	 0.846957	 0.842609	 
25.000000	 -5.988007	 494.294302	 524.567044	 -1.127404	 63.823923	 64.541880	 1.977305	 36.176077	 35.458120	 0.181476	 28.362541	 28.297854	 45.009331	 0.646818	 0.687727	 0.472727	 0.172727	 0.483182	 0.204545	 0.850909	 0.860455	 
0.000000	 -2.599050	 494.858333	 507.468584	 -1.163626	 63.872383	 64.610772	 2.020702	 36.127617	 35.389228	 -0.206236	 28.447452	 28.484561	 45.825988	 0.647826	 0.663913	 0.463913	 0.183043	 0.473478	 0.190435	 0.836522	 0.846957	 
0.000000	 -3.481917	 486.244856	 503.268953	 -1.640847	 63.880865	 64.931918	 2.925023	 36.119135	 35.068082	 0.007684	 28.801500	 28.789816	 46.283336	 0.632174	 0.663913	 0.454783	 0.178261	 0.468696	 0.195217	 0.828261	 0.842174	 
0.000000	 -0.762423	 488.637965	 492.195313	 -0.999825	 63.848695	 64.482354	 1.729854	 36.151305	 35.517646	 -0.066532	 28.343737	 28.353136	 46.607142	 0.632500	 0.654583	 0.457125	 0.175417	 0.465000	 0.189583	 0.822083	 0.830000	 
0.000000	 2.233251	 504.070387	 492.462523	 -0.440855	 64.178344	 64.457557	 0.760815	 35.821656	 35.542443	 0.171210	 28.646531	 28.587772	 46.042129	 0.646957	 0.656087	 0.463087	 0.183826	 0.467391	 0.188696	 0.836522	 0.839913	 
0.000000	 -0.094967	 492.670455	 492.984176	 0.150280	 64.368152	 64.267222	 -0.304609	 35.631848	 35.732778	 -0.091921	 28.630482	 28.633497	 46.400181	 0.641304	 0.651739	 0.462174	 0.179565	 0.460870	 0.190870	 0.832609	 0.831304	 
0.000000	 1.627524	 500.531717	 492.174103	 -0.496020	 63.879878	 64.189972	 0.825757	 36.120122	 35.810028	 -0.410175	 28.054133	 28.147817	 46.162705	 0.644348	 0.656522	 0.465652	 0.178261	 0.468696	 0.187826	 0.830435	 0.834783	 
0.000000	 1.187670	 500.975847	 494.848054	 0.357282	 64.268626	 64.035026	 -0.674181	 35.731374	 35.964974	 0.262415	 28.414105	 28.234662	 45.925592	 0.651304	 0.656087	 0.470000	 0.180870	 0.467826	 0.188261	 0.840000	 0.836957	 
0.000000	 3.617864	 499.404405	 478.023235	 0.819060	 64.315347	 63.781088	 -1.534713	 35.684653	 36.218912	 0.101492	 28.083029	 28.037307	 47.219383	 0.633913	 0.638636	 0.460435	 0.173913	 0.454348	 0.182609	 0.817391	 0.810870	 
0.000000	 0.101487	 492.655520	 491.712219	 0.463228	 64.321634	 64.017926	 -0.880294	 35.678366	 35.982074	 -0.063132	 28.385809	 28.389841	 46.720965	 0.637917	 0.646667	 0.462500	 0.176250	 0.457917	 0.187391	 0.825652	 0.822917	 
0.000000	 -2.753090	 481.883813	 494.981233	 -0.921508	 63.897161	 64.480562	 1.590007	 36.102839	 35.519438	 -0.296119	 28.327766	 28.393095	 46.818065	 0.630455	 0.654091	 0.455909	 0.173636	 0.463182	 0.190909	 0.819091	 0.827727	 
