Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -0.548672	 573.940620	 576.444452	 0.292757	 63.230296	 63.037283	 -0.561000	 36.769704	 36.962717	 -0.111263	 26.225326	 26.235731	 40.894876	 0.742500	 0.732000	 0.544500	 0.196500	 0.542000	 0.190000	 0.930500	 0.928500	 
0.000000	 -3.444624	 554.912077	 574.233672	 -0.254487	 63.474651	 63.632005	 0.409936	 36.525349	 36.367995	 -0.241924	 27.082944	 27.132105	 41.335053	 0.724737	 0.723500	 0.528500	 0.201500	 0.530500	 0.193000	 0.916842	 0.925000	 
0.000000	 -3.146249	 568.609655	 587.513235	 0.158063	 63.391830	 63.284464	 -0.325183	 36.608170	 36.715536	 0.228526	 26.718732	 26.639568	 40.049137	 0.756000	 0.742000	 0.550000	 0.206000	 0.549000	 0.193000	 0.950500	 0.948000	 
0.000000	 -0.601515	 578.433980	 581.490089	 -0.679605	 63.120673	 63.542693	 1.111688	 36.879327	 36.457307	 -0.009293	 26.614092	 26.610222	 40.280987	 0.756000	 0.736500	 0.544000	 0.211500	 0.551000	 0.185500	 0.940500	 0.948000	 
0.000000	 -3.074115	 567.386264	 584.585674	 -0.910885	 62.955801	 63.519401	 1.477356	 37.044199	 36.480599	 0.022937	 26.488394	 26.466689	 40.585343	 0.746190	 0.733333	 0.539524	 0.206190	 0.548095	 0.185238	 0.931429	 0.939524	 
0.000000	 1.098337	 579.749870	 572.265063	 0.551847	 63.305770	 62.945330	 -1.035228	 36.694230	 37.054670	 -0.426851	 26.263680	 26.344450	 40.614623	 0.749000	 0.729000	 0.548000	 0.202000	 0.541500	 0.187500	 0.936500	 0.931000	 
0.000000	 0.584124	 579.516144	 575.982713	 -0.604270	 63.164939	 63.538334	 0.975493	 36.835061	 36.461666	 -0.170932	 26.725133	 26.747063	 40.156017	 0.749000	 0.744000	 0.544500	 0.205000	 0.549500	 0.194500	 0.944000	 0.949000	 
0.000000	 1.045968	 579.564664	 573.028632	 0.511828	 63.293388	 62.964289	 -0.920709	 36.706612	 37.035711	 -0.046356	 26.245468	 26.238666	 40.352067	 0.752500	 0.736000	 0.551000	 0.201000	 0.546500	 0.189500	 0.941500	 0.937000	 
25.000000	 1.831133	 586.922369	 576.137746	 1.420979	 63.245065	 62.347023	 -2.440005	 36.754935	 37.652977	 -0.103253	 25.617311	 25.632377	 40.100902	 0.756500	 0.739500	 0.563000	 0.193000	 0.549000	 0.190500	 0.946500	 0.932500	 
25.000000	 -0.309346	 574.540639	 576.080028	 0.205455	 62.639989	 62.502244	 -0.408893	 37.360011	 37.497756	 0.188174	 25.141124	 25.074137	 40.399825	 0.751000	 0.733500	 0.557000	 0.195000	 0.556000	 0.177500	 0.930500	 0.928500	 
