Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -6.124907	 518.773865	 551.157449	 1.549237	 64.469964	 63.475944	 -2.774520	 35.530036	 36.524056	 -0.147944	 27.929927	 27.957244	 43.850454	 0.683810	 0.684762	 0.500000	 0.184286	 0.486190	 0.198571	 0.882381	 0.869048	 
0.000000	 -4.859217	 512.545753	 537.899456	 1.925949	 64.588487	 63.316692	 -3.462002	 35.411513	 36.683308	 -0.018872	 27.836849	 27.906776	 44.618803	 0.672273	 0.672273	 0.493182	 0.179091	 0.477727	 0.194545	 0.867727	 0.851364	 
0.000000	 -6.515135	 510.606715	 544.454651	 1.446226	 64.665269	 63.730889	 -2.641187	 35.334731	 36.269111	 -0.073652	 28.429547	 28.427501	 44.452962	 0.676087	 0.672609	 0.489130	 0.186957	 0.476087	 0.196522	 0.873043	 0.859565	 
0.000000	 -6.072668	 511.115909	 542.797772	 1.904136	 64.922068	 63.695882	 -3.444858	 35.077932	 36.304118	 -0.174174	 28.568466	 28.595116	 44.527844	 0.674455	 0.675545	 0.489909	 0.184091	 0.473636	 0.201909	 0.875000	 0.859636	 
0.000000	 -6.027242	 505.498086	 536.696652	 1.549499	 64.623849	 63.627515	 -2.791624	 35.376151	 36.372485	 -0.084475	 28.224811	 28.239364	 44.952269	 0.662727	 0.673636	 0.485909	 0.176364	 0.472727	 0.200909	 0.862727	 0.850000	 
0.000000	 -4.247763	 510.647716	 532.336371	 1.816514	 64.779028	 63.610432	 -3.277527	 35.220972	 36.389568	 -0.109432	 28.414691	 28.430099	 44.855128	 0.664348	 0.670000	 0.485652	 0.179130	 0.469565	 0.200435	 0.866818	 0.849130	 
0.000000	 -3.304424	 517.573042	 534.744346	 1.915739	 65.009997	 63.691609	 -3.497989	 34.990003	 36.308391	 0.241361	 28.806004	 28.723900	 44.544222	 0.674545	 0.671818	 0.487727	 0.186818	 0.471818	 0.200000	 0.875909	 0.858636	 
0.000000	 -6.427604	 511.420743	 545.008660	 2.159753	 65.274832	 63.874451	 -3.984484	 34.725168	 36.125549	 -0.247234	 29.087676	 29.137508	 45.029137	 0.670909	 0.663636	 0.482273	 0.189091	 0.463636	 0.200000	 0.870000	 0.852727	 
25.000000	 -1.163412	 528.374771	 531.801546	 3.549855	 65.842027	 63.537397	 -6.574216	 34.157973	 36.462603	 0.131801	 29.401497	 29.354861	 44.909321	 0.682609	 0.653043	 0.486957	 0.195652	 0.456522	 0.196522	 0.880000	 0.848696	 
25.000000	 -9.264015	 503.387364	 551.980589	 3.816791	 65.770405	 63.301974	 -6.991611	 34.229595	 36.698026	 -0.188405	 29.084412	 29.127253	 44.965687	 0.670909	 0.663182	 0.489545	 0.181364	 0.455909	 0.207273	 0.877727	 0.844545	 
