Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -4.681786	 494.656328	 517.672352	 -0.663784	 63.110065	 63.486494	 1.041073	 36.889935	 36.513506	 0.061014	 26.434685	 26.411147	 44.022465	 0.676190	 0.690952	 0.500000	 0.173810	 0.504333	 0.186619	 0.860429	 0.864762	 
0.000000	 -3.871414	 497.750081	 518.015627	 -1.758835	 62.762604	 63.907783	 2.965711	 37.237396	 36.092217	 0.098587	 26.521956	 26.520815	 43.663172	 0.680455	 0.685909	 0.495909	 0.185909	 0.510909	 0.175000	 0.862857	 0.871818	 
0.000000	 -2.658833	 503.013575	 516.127970	 -1.228890	 63.217330	 63.991040	 2.089123	 36.782670	 36.008960	 0.147385	 27.226284	 27.149773	 43.473158	 0.684500	 0.694591	 0.496773	 0.188182	 0.508182	 0.186409	 0.872727	 0.882773	 
0.000000	 -2.031791	 513.388614	 523.628395	 -1.155507	 63.550372	 64.282465	 2.416861	 36.449628	 35.717535	 -0.237289	 27.817697	 27.847015	 42.766138	 0.699476	 0.704333	 0.501381	 0.198095	 0.511429	 0.192905	 0.891905	 0.902429	 
0.000000	 -2.770482	 511.099745	 525.149180	 -0.381430	 63.578838	 63.809054	 0.573248	 36.421162	 36.190946	 -0.012943	 27.376614	 27.211813	 42.742568	 0.701364	 0.703182	 0.508182	 0.193182	 0.511818	 0.191364	 0.892727	 0.896364	 
0.000000	 -2.728711	 510.216028	 524.056530	 -0.697537	 63.489806	 63.927589	 1.174897	 36.510194	 36.072411	 -0.249603	 27.450201	 27.480692	 42.723723	 0.705238	 0.697619	 0.506190	 0.199524	 0.511429	 0.186190	 0.891905	 0.897143	 
0.000000	 -4.632086	 506.802580	 530.449695	 -0.726823	 63.517541	 63.967656	 1.180130	 36.482459	 36.032344	 -0.193852	 27.472200	 27.494304	 42.697870	 0.701857	 0.704810	 0.506619	 0.194762	 0.512857	 0.191952	 0.892857	 0.899571	 
0.000000	 -7.363328	 502.173024	 539.992078	 -1.540216	 63.314592	 64.291114	 2.668637	 36.685408	 35.708886	 0.186439	 27.592975	 27.521131	 42.526127	 0.692727	 0.719545	 0.504091	 0.188182	 0.519091	 0.200455	 0.893636	 0.907727	 
25.000000	 -2.769861	 507.661957	 521.409034	 -0.670915	 63.096494	 63.511539	 1.085431	 36.903506	 36.488461	 -0.128630	 26.606505	 26.612436	 43.180871	 0.693810	 0.695714	 0.507143	 0.184500	 0.512857	 0.182857	 0.877143	 0.882857	 
25.000000	 -4.071820	 507.399888	 528.040321	 0.113094	 63.417765	 63.338957	 -0.249502	 36.582235	 36.661043	 -0.416690	 26.730351	 26.815862	 42.649075	 0.701429	 0.706667	 0.516190	 0.185238	 0.514286	 0.192381	 0.892381	 0.891905	 
25.000000	 -2.804652	 512.908425	 527.304231	 -0.756092	 62.922666	 63.390225	 1.223056	 37.077334	 36.609775	 -0.108446	 26.326719	 26.329032	 42.492055	 0.697727	 0.713636	 0.516818	 0.181364	 0.523182	 0.190455	 0.888636	 0.895000	 
25.000000	 -2.328749	 511.331478	 523.199913	 -0.428862	 63.203267	 63.465117	 0.666463	 36.796733	 36.534883	 -0.192822	 26.644474	 26.690907	 42.776478	 0.697619	 0.707143	 0.512857	 0.183810	 0.516190	 0.190952	 0.886667	 0.890952	 
