Perturbaton	 Ratio_StepLength(%)	 StepLength_R(cm)	 StepLegnth_L(cm)	 Ratio_StancePhase(%)	 StancePhase_R(%)	 StancePhase_L(%)	 Ratio_SwingPhase(%)	 SwingPhase_R(%)	 SwingPhase_L(%)	 Ratio_DoubleLimbS(%)	 doublelimbS_R(%)	 doublelimbS_L(%)	 Cadence(step/min)	 RTO-LTO(s)	 LTO-RTO(s)	 L swing duration(s)	 R double limb duration(s)	 R swing duration(s)	 L double limb duration(s)	 R stance duration(s)	 L stance duration(s)	 
0.000000	 -3.689407	 492.080619	 506.962122	 0.207427	 59.907131	 60.072401	 -0.371479	 40.092869	 39.927599	 1.578658	 20.148112	 19.902772	 46.643501	 0.637143	 0.637619	 0.511818	 0.125714	 0.512381	 0.120909	 0.759048	 0.765909	 
0.000000	 -3.417552	 483.057887	 499.368968	 0.632161	 60.288727	 59.893272	 -1.052818	 39.711273	 40.106728	 0.032988	 20.214373	 20.186037	 47.198036	 0.644167	 0.625833	 0.509583	 0.135417	 0.504583	 0.121250	 0.766667	 0.761250	 
0.000000	 -1.589144	 502.339087	 509.898573	 0.290121	 60.404449	 60.213513	 -0.544489	 39.595551	 39.786487	 -0.341913	 20.629717	 20.645942	 46.019331	 0.656957	 0.643636	 0.518696	 0.137391	 0.516087	 0.132174	 0.788261	 0.780909	 
0.000000	 -1.615820	 499.430623	 507.093105	 0.578120	 60.664735	 60.307114	 -0.937414	 39.335265	 39.692886	 -0.036590	 20.959814	 20.952453	 46.371636	 0.648696	 0.646522	 0.513913	 0.134348	 0.509565	 0.136957	 0.785217	 0.780870	 
0.000000	 0.650171	 502.941878	 499.386153	 -0.524331	 60.139607	 60.438315	 0.687429	 39.860393	 39.561685	 -0.064227	 20.624927	 20.571075	 46.274561	 0.644348	 0.650870	 0.512609	 0.132609	 0.516522	 0.134348	 0.780435	 0.783478	 
0.000000	 -2.330004	 507.090808	 518.486130	 0.141290	 60.610203	 60.516471	 -0.269158	 39.389797	 39.483529	 -0.329192	 21.087840	 21.132903	 45.512321	 0.661739	 0.659130	 0.521304	 0.140000	 0.520000	 0.139130	 0.799565	 0.799130	 
0.000000	 -4.429985	 498.920109	 520.886612	 -0.810738	 60.310054	 60.788906	 1.167797	 39.689946	 39.211094	 0.074349	 21.142038	 21.081443	 45.672508	 0.653043	 0.660000	 0.514783	 0.138261	 0.521304	 0.138696	 0.793043	 0.798261	 
0.000000	 -3.903521	 489.634422	 506.009908	 -0.172389	 60.350463	 60.671770	 0.169747	 39.649537	 39.328230	 -0.116635	 21.007218	 20.839632	 46.667161	 0.645909	 0.644783	 0.506087	 0.136087	 0.512727	 0.134783	 0.776522	 0.780870	 
25.000000	 -4.876259	 495.065947	 517.230707	 -0.949622	 59.646923	 60.186218	 1.262435	 40.353077	 39.813782	 -0.403606	 19.820129	 19.863884	 45.970838	 0.657727	 0.650435	 0.524348	 0.133636	 0.526087	 0.124348	 0.779545	 0.788636	 
25.000000	 1.242493	 505.690545	 498.152955	 -0.590686	 59.544200	 59.870169	 0.711203	 40.455800	 40.129831	 -0.165508	 19.430596	 19.408000	 46.205111	 0.647826	 0.651304	 0.521304	 0.126522	 0.525652	 0.125652	 0.773913	 0.777826	 
25.000000	 0.366975	 503.514621	 500.554599	 0.309214	 59.779444	 59.581879	 -0.537105	 40.220556	 40.418121	 0.399711	 19.358158	 19.431290	 46.186478	 0.651739	 0.647826	 0.525217	 0.126522	 0.521739	 0.126087	 0.776957	 0.774348	 
